K0_number	Gene_identification	Label
K09377	CSRP; cysteine and glycine-rich protein	CSRP; cysteine and glycine-rich protein
K03283	HSPA1_8; heat shock 70kDa protein 1/8	HSPA1_8; heat shock 70kDa protein 1/8
K08843	LRRK1; leucine-rich repeat kinase 1 [EC:2.7.11.1]	LRRK1; leucine-rich repeat kinase 1 [EC:2.7.11.1]
K15986	ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]	ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K01279	TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]	TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]
K02966	RP-S19e, RPS19; small subunit ribosomal protein S19e	RP-S19e, RPS19; small subunit ribosomal protein S19e
K00898	PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]	PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]
K15102	SLC25A3, PHC, PIC; solute carrier family 25 (mitochondrial phosphate transporter), member 3	SLC25A3, PHC, PIC; solute carrier family 25 (mitochondrial phosphate transporter), member 3
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K05618	SLC1A7, EAAT5; solute carrier family 1 (glutamate transporter), member 7	SLC1A7, EAAT5; solute carrier family 1 (glutamate transporter), member 7
K10408	DNAH; dynein heavy chain, axonemal	DNAH; dynein heavy chain, axonemal
K03660	OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
K10599	PRPF19, PRP19; pre-mRNA-processing factor 19 [EC:2.3.2.27]	PRPF19, PRP19; pre-mRNA-processing factor 19 [EC:2.3.2.27]
K10739	RFA2, RPA2; replication factor A2	RFA2, RPA2; replication factor A2
K11843	USP14, UBP6; ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]	USP14, UBP6; ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]
K10394	KIF3A; kinesin family member 3A	KIF3A; kinesin family member 3A
K11594	DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]	DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]
K02603	ORC1; origin recognition complex subunit 1	ORC1; origin recognition complex subunit 1
K05657	ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10	ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10
K10256	FAD2; omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.6 1.14.19.22]	FAD2; omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.6 1.14.19.22]
K17262	TBCB, CKAP1, ALF1; tubulin-folding cofactor B	TBCB, CKAP1, ALF1; tubulin-folding cofactor B
K18055	HIF1AN; hypoxia-inducible factor 1-alpha inhibitor (HIF hydroxylase) [EC:1.14.11.30]	HIF1AN; hypoxia-inducible factor 1-alpha inhibitor (HIF hydroxylase) [EC:1.14.11.30]
K02956	RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15	RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15
K12492	ARFGAP1; ADP-ribosylation factor GTPase-activating protein 1	ARFGAP1; ADP-ribosylation factor GTPase-activating protein 1
K16055	TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]	TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
K04498	EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]	EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]
K07767	KATNA1; katanin p60 ATPase-containing subunit A1 [EC:3.6.4.3]	KATNA1; katanin p60 ATPase-containing subunit A1 [EC:3.6.4.3]
K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
